Topic 0,covid19,corona,positivity,delhi,rate,10112,public,masks,tests,longcovid
Topic 1,total,cases,today,deaths,recovery,coronavirus,covid19,corona,covid_19,new
Topic 2,corona,covid19,covid,read,foundation,music,usa,billgatesbioterrorist,according,india
Topic 3,covid19,corona,cases,covid,india,coronavirus,update,positive,today,test
Topic 4,covid19,corona,origin,coronavirus,covid,india,coverup,chinas,program,ongoing
